Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,129.25,-66.75,135,top
C2,10pF,C_0402_1005Metric,128,-65,-45,top
C3,1uF,C_0402_1005Metric,135,-75.75,-45,top
C4,0.1uF,C_0402_1005Metric,139.25,-69.75,-45,top
C5,0.1uF,C_0402_1005Metric,136.5,-74.25,-45,top
C6,0.1uF,C_0402_1005Metric,134,-77,-135,top
C7,0.1uF,C_0402_1005Metric,133.25,-76.25,-135,top
C8,0.1uF,C_0402_1005Metric,135.75,-75,-45,top
C9,10pF,C_0402_1005Metric,128.75,-61.5,-135,top
C10,0.1uF,C_0402_1005Metric,144.5,-80.75,90,top
C11,10uF,C_0402_1005Metric,97,-63,-135,top
C12,0.1uF,C_0402_1005Metric,97.75,-65.25,-135,top
C81,10uF,C_0402_1005Metric,89.365,-97.75,-90,top
C82,10uF,C_0402_1005Metric,89.365,-92.25,90,top
C83,10uF,C_0805_2012Metric,127.3,-96.625,-90,top
C84,10uF,C_0805_2012Metric,125.05,-96.625,-90,top
C85,10uF,C_0603_1608Metric,130,-96.975,180,top
C86,100nF,C_0402_1005Metric,132.57,-102.125,0,top
C87,10uF,C_0603_1608Metric,133.1,-96.975,0,top
C88,22uF,C_0805_2012Metric,138.05,-96.625,-90,top
C89,22uF,C_0805_2012Metric,140.3,-96.625,-90,top
C90,22uF,C_0805_2012Metric,135.8,-96.625,-90,top
C91,100nF,C_0603_1608Metric,105.5,-85.75,90,top
C92,10uF,C_0603_1608Metric,100.25,-90.25,180,top
C93,100nF,C_0603_1608Metric,95,-48,90,top
C94,10uF,C_0603_1608Metric,89.5,-52.75,180,top
C95,20pF,C_0402_1005Metric,86,-69.900071,-45,top
C96,1uF,C_0402_1005Metric,145.5,-58.5,-135,top
C97,10uF,C_0603_1608Metric,110.75,-96,0,top
C98,22uF,C_1206_3216Metric,120,-95,0,top
C99,4.7uF,C_0603_1608Metric,93.912099,-102.747353,-90,top
C100,33uF,C_0603_1608Metric,94.682099,-99.997353,180,top
C101,10uF,C_0603_1608Metric,97.912099,-99.997353,0,top
C102,1uF,C_0603_1608Metric,127.5,-72.5,-135,top
C103,0.1uF,C_0402_1005Metric,137.25,-75.75,-135,top
C104,0.1uF,C_0402_1005Metric,132,-76,-135,top
C105,0.1uF,C_0402_1005Metric,129,-73,-135,top
C106,20pF,C_0402_1005Metric,86.25,-65.900071,-135,top
C107,220nF,C_0402_1005Metric,93.25,-64.5,-135,top
C108,10uF,C_0402_1005Metric,101.75,-64.75,45,top
C109,10uF,C_0402_1005Metric,102.6,-67.6,-135,top
C110,0.1uF,C_0402_1005Metric,101.25,-69,-135,top
C111,0.1uF,C_0402_1005Metric,100.25,-66.25,45,top
C112,10uF,C_0402_1005Metric,94,-76.75,45,top
C113,0.1uF,C_0402_1005Metric,93.25,-76,45,top
C114,10uF,C_0402_1005Metric,90.75,-75.75,-45,top
C115,0.1uF,C_0402_1005Metric,91.5,-74.25,-135,top
C116,10uF,C_0402_1005Metric,97,-64.5,-135,top
C117,0.1uF,C_0402_1005Metric,95.5,-64.5,-135,top
C118,10uF,C_0402_1005Metric,97,-43.75,90,top
C119,0.1uF,C_0402_1005Metric,98.25,-43.75,90,top
CM1,RX5808,COMM-SMD_12P_RX5808,115.5,-45,180,top
D10,Diode,D_SMB,120.75,-100,-90,top
FPC1,0.5K-AS-40PWB,FPC-SMD_40P-P0.50_0.5K-AS-40PWB,108.85,-71.5,90,top
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,102,-100.225,0,top
J2,Conn_02x03_Counter_Clockwise,PinHeader_2x03_P1.27mm_Vertical,131.53,-44.93,0,top
J4,Conn_02x04_Counter_Clockwise,PinHeader_2x04_P1.27mm_Vertical,141.695,-46.635,90,top
J5,Conn_02x02_Counter_Clockwise,PinHeader_2x02_P1.27mm_Vertical,131.115,-51.885,90,top
L3,XFL4020-152MEC,IND-SMD_L4.0-W4.0-A,131.55,-93.375,0,top
L4,22uH,IND-SMD_L5.8-W5.8,114.5,-100.25,0,top
LED1,KT-0603YB,LED0603-RD,122,-31.5,-90,top
LED2,KT-0603YB,LED0603-RD,120,-31.5,-90,top
LED3,KT-0603YB,LED0603-RD,118,-31.5,-90,top
LED4,KT-0603YB,LED0603-RD,116,-31.5,-90,top
LED5,KT-0603YB,LED0603-RD,114,-31.5,-90,top
LED6,KT-0603YB,LED0603-RD,112,-31.5,-90,top
