Id,Designator,Footprint,Quantity,Comment,Supplier and ref,Column1,_1
1,C98,C_1206_3216Metric,1,22uF,,,
2,"R7,R1,R8,R2,R116,R4,R90,R5,R3,R6",R_0402_1005Metric,10,220,,,
3,"LED18,LED20,LED10,LED19,LED17,LED21,LED22",LED0603-RD,7,KT-0603YG,,,
4,"C91,C93",C_0603_1608Metric,2,100nF,,,
5,C99,C_0603_1608Metric,1,4.7uF,,,
6,R93,R_0402_1005Metric,1,1.8K,,,
7,"C5,C113,C6,C111,C8,C7,C12,C103,C117,C10,C115,C104,C105,C110,C4,C1,C119",C_0402_1005Metric,17,0.1uF,,,
8,D10,D_SMB,1,Diode,,,
9,"C94,C87,C85,C92,C97,C101",C_0603_1608Metric,6,10uF,,,
10,"C109,C118,C114,C81,C112,C82,C116,C108,C11",C_0402_1005Metric,9,10uF,,,
11,U28,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,CAT4104,,,
12,USB2,USB-C-SMD_TYPE-C16PIN_C668624,1,TYPE-C 16P(073),,,
13,"R94,R11",R_0402_1005Metric,2,1K,,,
14,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,,,
15,"C89,C90,C88",C_0805_2012Metric,3,22uF,,,
16,"R70,R81,R106,R92,R95,R91,R12",R_0402_1005Metric,7,10K,,,
17,R105,R_0402_1005Metric,1,396K,,,
18,U25,DSBGA-8_L1.5-W1.0-R2-C4-P0.40-BL,1,BQ21088YBGR,,,
19,"R57,R59",R_0402_1005Metric,2,5.1K,,,
20,J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,,,
21,"R14,R15,R107,R16,R13",R_0402_1005Metric,5,4.7K,,,
22,R71,R_0402_1005Metric,1,100K,,,
23,U22,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias,1,~,,,
24,FPC1,FPC-SMD_40P-P0.50_0.5K-AS-40PWB,1,0.5K-AS-40PWB,,,
25,"C106,C95",C_0402_1005Metric,2,20pF,,,
26,"C96,C3",C_0402_1005Metric,2,1uF,,,
27,C100,C_0603_1608Metric,1,33uF,,,
28,"SW1,SW16",SW_Push_1P1T-SH_NO_CK_KMR2xxG,2,SW_Push,,,
29,"R111,R113,R112",R_0402_1005Metric,3,1.5K,,,
30,X3,CRYSTAL-SMD_4P-L3.2-W2.5-BL-1,1,X322527MSB4SI,,,
31,"C84,C83",C_0805_2012Metric,2,10uF,,,
32,C86,C_0402_1005Metric,1,100nF,,,
33,"LED8,LED7,LED2,LED5,LED3,LED1,LED6,LED4",LED0603-RD,8,KT-0603YB,,,
34,J5,PinHeader_2x02_P1.27mm_Vertical,1,Conn_02x02_Counter_Clockwise,,,
35,SW18,SW-TH_K3-1204D-L,1,K3-1204D-L,,,
36,C102,C_0603_1608Metric,1,1uF,,,
37,U31,SOT-223-3_TabPin2,1,LD1117S18TR_SOT223,,,
38,U29,SOT-23-6,1,MT3608,,,
39,R114,R_0402_1005Metric,1,3.3K,,,
40,U24,VQFN-15_L3.0-W2.5-P0.50-BL,1,TPS630701RNMT,,,
41,U2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3_C20625731,,,
42,RV1,Potentiometer_Bourns_3314J_Vertical,1,10K,,,
43,"R10,R9",R_0402_1005Metric,2,27,,,
44,U30,SMA-TH_SMA-KWE_C7498154,1,SMA_Conn,,,
45,U27,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,,,
46,L4,IND-SMD_L5.8-W5.8,1,22uH,,,
47,C107,C_0402_1005Metric,1,220nF,,,
48,"C2,C9",C_0402_1005Metric,2,10pF,,,
49,CM1,COMM-SMD_12P_RX5808,1,RX5808,,,
50,R108,R_0402_1005Metric,1,2.2K,,,
51,J4,PinHeader_2x04_P1.27mm_Vertical,1,Conn_02x04_Counter_Clockwise,,,
52,U4,WSON-8_L6.0-W5.0-P1.27-BL-EP,1,W25Q16JVZPIQ,,,
53,L3,IND-SMD_L4.0-W4.0-A,1,XFL4020-152MEC,,,
54,R79,R_0402_1005Metric,1,80,,,
55,J2,PinHeader_2x03_P1.27mm_Vertical,1,Conn_02x03_Counter_Clockwise,,,
56,SW15,SW-SMD_DSIC03LSGET,1,DSIC03LSGET,,,
57,LED23,LED0603-RD,1,KT-0603YR,,,
58,R115,R_0402_1005Metric,1,1.5k,,,
